PUMACE10,name,data
03504,Chicago--Irving Park/Albany Park,2005-3-01 71.5	2005-6-01 76.3	2005-9-01 83.2	2006-3-01 88.7	2006-6-01 92.8	2006-9-01 95.1	2007-3-01 98.3	2007-6-01 98	2007-9-01 95.3	2008-3-01 92.5	2008-6-01 88	2008-9-01 81.4	2009-3-01 71.3	2009-6-01 64.7	2009-9-01 56.5	2010-3-01 50.8	2010-6-01 49.9	2010-9-01 49	2011-3-01 43.7	2011-6-01 37.6	2011-9-01 34.3	2012-3-01 29.5	2012-6-01 32.1	2012-9-01 33.7	2013-3-01 37	2013-6-01 40.3	2013-9-01 46.3	2014-3-01 53.6	2014-6-01 59.3	2014-9-01 62.8
03520,Chicago--Portage Park/Jefferson Park,2005-3-01 77.7	2005-6-01 81.8	2005-9-01 87.9	2006-3-01 95.6	2006-6-01 100.3	2006-9-01 102.6	2007-3-01 104.3	2007-6-01 102	2007-9-01 100.7	2008-3-01 89.9	2008-6-01 82.8	2008-9-01 73.7	2009-3-01 63.9	2009-6-01 55.4	2009-9-01 45.7	2010-3-01 36.9	2010-6-01 34	2010-9-01 30.3	2011-3-01 22.8	2011-6-01 16.8	2011-9-01 15.2	2012-3-01 13	2012-6-01 14.8	2012-9-01 14.4	2013-3-01 14.6	2013-6-01 17.3	2013-9-01 21.9	2014-3-01 31.6	2014-6-01 37.5	2014-9-01 42.7
03521,Chicago--Austin/Belmont Cragin,2005-3-01 85.9	2005-6-01 93.7	2005-9-01 98.5	2006-3-01 109.6	2006-6-01 116.3	2006-9-01 123.5	2007-3-01 130.5	2007-6-01 130.8	2007-9-01 127.3	2008-3-01 118.8	2008-6-01 111.6	2008-9-01 98.6	2009-3-01 65.9	2009-6-01 45.1	2009-9-01 32.8	2010-3-01 23.4	2010-6-01 22.4	2010-9-01 20	2011-3-01 16.4	2011-6-01 12.1	2011-9-01 10.3	2012-3-01 4	2012-6-01 1.7	2012-9-01 -1	2013-3-01 -0.1	2013-6-01 1.4	2013-9-01 6.3	2014-3-01 11	2014-6-01 15.1	2014-9-01 19.4
03522,Chicago--Logan Square/Avondale,2005-3-01 91.4	2005-6-01 93.3	2005-9-01 101.4	2006-3-01 114	2006-6-01 120.9	2006-9-01 126.8	2007-3-01 132.3	2007-6-01 131.9	2007-9-01 126	2008-3-01 123.5	2008-6-01 125.4	2008-9-01 126.4	2009-3-01 114.1	2009-6-01 100	2009-9-01 74.7	2010-3-01 62.6	2010-6-01 61.9	2010-9-01 66.5	2011-3-01 64.9	2011-6-01 57.9	2011-9-01 55.2	2012-3-01 51	2012-6-01 54.5	2012-9-01 53.2	2013-3-01 62.8	2013-6-01 72.8	2013-9-01 81.9	2014-3-01 93.1	2014-6-01 99.4	2014-9-01 110
03523,Chicago--Humboldt Park/Garfield Park,2005-3-01 129.8	2005-6-01 138.6	2005-9-01 148.9	2006-3-01 168.2	2006-6-01 174.9	2006-9-01 183	2007-3-01 188.9	2007-6-01 192	2007-9-01 188.3	2008-3-01 179.1	2008-6-01 163.5	2008-9-01 133.9	2009-3-01 72.7	2009-6-01 51.3	2009-9-01 42	2010-3-01 32	2010-6-01 27.1	2010-9-01 21.1	2011-3-01 10.3	2011-6-01 4.8	2011-9-01 2.5	2012-3-01 -10	2012-6-01 -14.6	2012-9-01 -15.7	2013-3-01 -9.2	2013-6-01 -4.4	2013-9-01 0	2014-3-01 1.4	2014-6-01 5.2	2014-9-01 14.1
03524,Chicago--West Town/Near West Side,2005-3-01 86.2	2005-6-01 91.6	2005-9-01 93	2006-3-01 102.9	2006-6-01 107.1	2006-9-01 119.8	2007-3-01 132.1	2007-6-01 136.6	2007-9-01 133.8	2008-3-01 127	2008-6-01 123.6	2008-9-01 124.6	2009-3-01 115	2009-6-01 111.1	2009-9-01 103.9	2010-3-01 94.9	2010-6-01 90.6	2010-9-01 91.2	2011-3-01 82.2	2011-6-01 78.6	2011-9-01 73.6	2012-3-01 77.4	2012-6-01 78.2	2012-9-01 78.2	2013-3-01 78.9	2013-6-01 85.7	2013-9-01 89	2014-3-01 102.3	2014-6-01 112.6	2014-9-01 121.8
03526,Chicago--Bridgeport/Brighton Park,2005-3-01 106.1	2005-6-01 115.4	2005-9-01 127.2	2006-3-01 145.8	2006-6-01 157.7	2006-9-01 166.3	2007-3-01 169.3	2007-6-01 160.6	2007-9-01 150.8	2008-3-01 143.9	2008-6-01 138.6	2008-9-01 130.5	2009-3-01 109.4	2009-6-01 89.7	2009-9-01 80.1	2010-3-01 73.2	2010-6-01 70	2010-9-01 59.7	2011-3-01 40.4	2011-6-01 35.3	2011-9-01 32.5	2012-3-01 28.4	2012-6-01 26.1	2012-9-01 28.2	2013-3-01 30.6	2013-6-01 30.2	2013-9-01 33.2	2014-3-01 38.9	2014-6-01 39.9	2014-9-01 37.8
03527,Chicago--Gage Park/West Lawn,2005-3-01 86.1	2005-6-01 92.4	2005-9-01 98.6	2006-3-01 108.7	2006-6-01 113.8	2006-9-01 118.5	2007-3-01 119.5	2007-6-01 116.8	2007-9-01 112.5	2008-3-01 103.9	2008-6-01 96	2008-9-01 86.2	2009-3-01 67.6	2009-6-01 57.2	2009-9-01 50.5	2010-3-01 44.4	2010-6-01 43.8	2010-9-01 40.4	2011-3-01 30.2	2011-6-01 25	2011-9-01 21	2012-3-01 18.1	2012-6-01 15.2	2012-9-01 13.2	2013-3-01 13.7	2013-6-01 14.8	2013-9-01 19.5	2014-3-01 25.5	2014-6-01 28.7	2014-9-01 32.4
03528,Chicago--Englewood/Greater Grand Crossing,2005-3-01 90.6	2005-6-01 100.5	2005-9-01 107.9	2006-3-01 122.9	2006-6-01 131.5	2006-9-01 138.8	2007-3-01 147.6	2007-6-01 148.4	2007-9-01 146.6	2008-3-01 141.1	2008-6-01 130.1	2008-9-01 112	2009-3-01 75.6	2009-6-01 59	2009-9-01 46.6	2010-3-01 31.9	2010-6-01 26.8	2010-9-01 23.8	2011-3-01 15.8	2011-6-01 11.8	2011-9-01 6.1	2012-3-01 0.5	2012-6-01 -6	2012-9-01 -11.2	2013-3-01 -18.8	2013-6-01 -20.6	2013-9-01 -19.6	2014-3-01 -14	2014-6-01 -10.9	2014-9-01 -8.8
03529,Chicago--Bronzeville/Hyde Park,2005-3-01 81.9	2005-6-01 92.2	2005-9-01 99.6	2006-3-01 113.6	2006-6-01 120.6	2006-9-01 124.6	2007-3-01 141.6	2007-6-01 145.8	2007-9-01 146.6	2008-3-01 140.9	2008-6-01 135.5	2008-9-01 117.5	2009-3-01 84.8	2009-6-01 68.2	2009-9-01 67.2	2010-3-01 59.2	2010-6-01 52.2	2010-9-01 42.5	2011-3-01 33	2011-6-01 31.6	2011-9-01 27.8	2012-3-01 28.2	2012-6-01 26.5	2012-9-01 28.5	2013-3-01 21.7	2013-6-01 25.6	2013-9-01 28.7	2014-3-01 35.2	2014-6-01 35.3	2014-9-01 37.6
03530,Chicago--Beverly/Morgan Park,2005-3-01 62.4	2005-6-01 68.1	2005-9-01 74.3	2006-3-01 83.5	2006-6-01 87.7	2006-9-01 91.8	2007-3-01 97	2007-6-01 97.9	2007-9-01 95	2008-3-01 91.5	2008-6-01 83.8	2008-9-01 77.5	2009-3-01 61.7	2009-6-01 56.4	2009-9-01 52.4	2010-3-01 49.3	2010-6-01 49	2010-9-01 45.2	2011-3-01 36.3	2011-6-01 29.8	2011-9-01 25.7	2012-3-01 19.6	2012-6-01 19.6	2012-9-01 17.7	2013-3-01 18.6	2013-6-01 21.2	2013-9-01 23.5	2014-3-01 26.5	2014-6-01 27.7	2014-9-01 30.2
03531,Chicago--Auburn Gresham/Chatham,2005-3-01 65.4	2005-6-01 71.6	2005-9-01 76	2006-3-01 88	2006-6-01 91.5	2006-9-01 95.8	2007-3-01 100.1	2007-6-01 103.2	2007-9-01 103	2008-3-01 95	2008-6-01 90.6	2008-9-01 83	2009-3-01 65.5	2009-6-01 53.6	2009-9-01 43.5	2010-3-01 36.4	2010-6-01 32.8	2010-9-01 29.9	2011-3-01 21.2	2011-6-01 10.4	2011-9-01 6.1	2012-3-01 -3.7	2012-6-01 -5.2	2012-9-01 -9.5	2013-3-01 -11.4	2013-6-01 -11.9	2013-9-01 -10.6	2014-3-01 -8.4	2014-6-01 -5.1	2014-9-01 -0.3
03532,Chicago--South Chicago/West Pullman,2005-3-01 63.2	2005-6-01 68.3	2005-9-01 73.1	2006-3-01 84.5	2006-6-01 91.9	2006-9-01 96.8	2007-3-01 103.9	2007-6-01 103.1	2007-9-01 102.3	2008-3-01 92.9	2008-6-01 87.9	2008-9-01 77	2009-3-01 64	2009-6-01 54.4	2009-9-01 50.1	2010-3-01 40.1	2010-6-01 35.3	2010-9-01 29.6	2011-3-01 20.4	2011-6-01 12.9	2011-9-01 8	2012-3-01 -5.2	2012-6-01 -11.4	2012-9-01 -13.7	2013-3-01 -13.4	2013-6-01 -12.8	2013-9-01 -12.3	2014-3-01 -14.2	2014-6-01 -11	2014-9-01 -8.4
